hotel,price,score,avg review,reviews count,address,date
"Holiday Inn Express Geneva Airport, an IHG Hotel",CHF 122,"8.1
Scored 8.1",Very Good,"4,223",Geneva,2024-05-25
Essential by Dorint Basel City,CHF 157,"8.5
Scored 8.5",Very Good,"4,345","Basel City Centre, Basel",2024-05-25
Los Lorentes Hotel Bern Airport,CHF 145,"8.2
Scored 8.2",Very Good,"1,042",Belp,2024-05-25
Hotel La Prairie,CHF 155,"8.4
Scored 8.4",Very Good,"1,053",Crans-Montana,2024-05-25
Hotel Bristol Relais du Silence Superior,CHF 140,"8.5
Scored 8.5",Very Good,741,Adelboden,2024-05-25
Hotel Felix,CHF 188,"8.5
Scored 8.5",Very Good,"4,059","Zurich Old Town - City Center, Zurich",2024-05-25
Grindelwald Youth Hostel,CHF 56,"8.3
Scored 8.3",Very Good,797,Grindelwald,2024-05-25
Hyatt Regency Zurich Airport Circle,CHF 207,"8.9
Scored 8.9",Excellent,"2,223",Kloten,2024-05-25
Gasthof Hirschen in Wilderswil,CHF 124,"8.2
Scored 8.2",Very Good,668,Wilderswil,2024-05-25
Stay KooooK Bern Wankdorf - Online Check In,CHF 145,"8.9
Scored 8.9",Excellent,"2,032","Breitenrain-Lorraine, Bern",2024-05-25
Hotel Conrad,CHF 155,"8.7
Scored 8.7",Excellent,407,Scuol,2024-05-25
Hotel Murtenhof & Krone,CHF 170,"8.6
Scored 8.6",Excellent,996,Murten,2024-05-25
Hotel Villa Post,CHF 155,"9.0
Scored 9.0",Wonderful,200,Vulpera,2024-05-25
H4 Hotel Arcadia Locarno,CHF 242,"8.3
Scored 8.3",Very Good,"2,437",Locarno,2024-05-25
Weisses Kreuz,CHF 154,"8.1
Scored 8.1",Very Good,662,Lyss,2024-05-25
citizenM Geneva,CHF 243,"8.5
Scored 8.5",Very Good,"4,509","Downtown, Geneva",2024-05-25
wellnessHostel4000,CHF 83,"8.3
Scored 8.3",Very Good,588,Saas-Fee,2024-05-25
Hotel Frauenfeld,CHF 115,"8.4
Scored 8.4",Very Good,719,Frauenfeld,2024-05-25
Berg & Bett Säntis Lodge,CHF 106,"8.0
Scored 8.0",Very Good,453,Unterwasser,2024-05-25
Hotel Central Résidence,CHF 169,"7.8
Scored 7.8",Good,"1,377",Leysin,2024-05-25
flexymotel Schönenwerd,CHF 115,"7.7
Scored 7.7",Good,88,Schönenwerd,2024-05-25
Hostel by Hyve Basel,CHF 68,"8.6
Scored 8.6",Excellent,"1,801",Basel,2024-05-25
Warwick Geneva,CHF 246,"8.0
Scored 8.0",Very Good,"4,401","Paquis, Geneva",2024-05-25
Hotel Emmental,CHF 177,"8.3
Scored 8.3",Very Good,851,Thun,2024-05-25
Hotel Elvezia,CHF 95,"7.8
Scored 7.8",Good,382,Lavorgo,2024-05-25
Hotel Allegro Einsiedeln,CHF 219,"8.1
Scored 8.1",Very Good,761,Einsiedeln,2024-05-25
Cresta Hotel,CHF 140,"7.7
Scored 7.7",Good,352,Klosters,2024-05-25
Hotel de l’Ours Preles,CHF 247,"9.5
Scored 9.5",Exceptional,"1,041",Prêles,2024-05-25
ibis Winterthur City,CHF 124,"7.3
Scored 7.3",Good,951,Winterthur,2024-05-25
Aparthotel Adagio Basel City,CHF 139,"8.3
Scored 8.3",Very Good,"1,541","Clara, Basel",2024-05-25
Beausite Park Hotel & Spa,CHF 328,"8.9
Scored 8.9",Excellent,346,Wengen,2024-05-25
Sommerau-Ticino Swiss Quality Hotel,CHF 104,"7.5
Scored 7.5",Good,645,Dietikon,2024-05-25
Hôtel des Bains de Saillon,CHF 246,"8.4
Scored 8.4",Very Good,"1,289",Saillon,2024-05-25
CP Resort,CHF 103,"8.4
Scored 8.4",Very Good,597,Taverne,2024-05-25
Gstaad Saanenland Youth Hostel,CHF 62,"8.4
Scored 8.4",Very Good,520,"Saanen, Gstaad",2024-05-25
Elite,CHF 175,"8.4
Scored 8.4",Very Good,"2,331","Lausanne Center, Lausanne",2024-05-25
Hotel Lido Seegarten,CHF 181,"8.5
Scored 8.5",Very Good,"2,666",Lugano,2024-05-25
Leonardo Boutique Hotel Rigihof Zurich,CHF 219,"7.1
Scored 7.1",Good,"3,889","Oberstrass, Zurich",2024-05-25
Chromotel self check-in,CHF 121,"7.3
Scored 7.3",Good,925,Mezzovico,2024-05-25
"Radisson Blu Hotel, St. Gallen",CHF 204,"7.9
Scored 7.9",Good,"1,700",St. Gallen,2024-05-25
Hotel Terminus,CHF 195,"7.9
Scored 7.9",Good,282,Samedan,2024-05-25
ADLER Boutique Hotel,CHF 169,"8.5
Scored 8.5",Very Good,"1,010",Murten,2024-05-25
Hôtel des Patients,CHF 179,"8.8
Scored 8.8",Excellent,"3,489",Lausanne,2024-05-25
Mercure Fribourg Centre Remparts,CHF 157,"7.8
Scored 7.8",Good,"1,563",Fribourg,2024-05-25
Au Vieux Champex,CHF 122,"8.7
Scored 8.7",Excellent,588,Champex,2024-05-25
Six Senses Crans-Montana,CHF 853,"9.0
Scored 9.0",Wonderful,75,Crans-Montana,2024-05-25
